"NameOfStation";"Line";"Year";"Quarter";"IncomingPassengers";"OutgoingPassengers";"global_id";
"Станция метрополитена";"Линия";"Год";"Квартал";"Входы пассажиров";"Выходы пассажиров";"global_id";
"Измайловская";"Арбатско-Покровская линия";"2022";"I квартал";"1464235";"1473103";"2363398682";
"Первомайская";"Арбатско-Покровская линия";"2022";"I квартал";"2780183";"2773002";"2363398683";
"Щёлковская";"Арбатско-Покровская линия";"2022";"I квартал";"5994304";"5701877";"2363398685";
"ЦСКА";"Большая кольцевая линия";"2022";"I квартал";"2610162";"2663827";"2363398688";
"Хорошёвская";"Большая кольцевая линия";"2022";"I квартал";"738841";"753542";"2363398689";
"Народное Ополчение";"Большая кольцевая линия";"2022";"I квартал";"1284090";"1270719";"2363398692";
"Мнёвники";"Большая кольцевая линия";"2022";"I квартал";"77917";"75266";"2363398694";
"Авиамоторная";"Некрасовская линия";"2022";"I квартал";"532418";"532654";"2363398695";
"Терехово";"Большая кольцевая линия";"2022";"I квартал";"147336";"159066";"2363398698";
"Кунцевская";"Большая кольцевая линия";"2022";"I квартал";"750405";"744128";"2363398700";
"Давыдково";"Большая кольцевая линия";"2022";"I квартал";"614179";"611044";"2363398701";
"Аминьевская";"Большая кольцевая линия";"2022";"I квартал";"707904";"689800";"2363398702";
"Проспект Вернадского";"Большая кольцевая линия";"2022";"I квартал";"345147";"346714";"2363398704";
"Новаторская";"Большая кольцевая линия";"2022";"I квартал";"802620";"797244";"2363398706";
"Воронцовская";"Большая кольцевая линия";"2022";"I квартал";"520067";"541985";"2363398707";
"Зюзино";"Большая кольцевая линия";"2022";"I квартал";"1081014";"1064281";"2363398708";
"Каховская";"Большая кольцевая линия";"2022";"I квартал";"905486";"931802";"2363398709";
"Битцевский парк";"Бутовская линия Лёгкого метро";"2022";"I квартал";"230489";"172165";"2363398710";
"Лесопарковая";"Бутовская линия Лёгкого метро";"2022";"I квартал";"496156";"466650";"2363398711";
"Улица Старокачаловская";"Бутовская линия Лёгкого метро";"2022";"I квартал";"0";"0";"2363398712";
"Улица Скобелевская";"Бутовская линия Лёгкого метро";"2022";"I квартал";"1456965";"1411881";"2363398714";
"Бульвар адмирала Ушакова";"Бутовская линия Лёгкого метро";"2022";"I квартал";"809825";"798240";"2363398715";
"Улица Горчакова";"Бутовская линия Лёгкого метро";"2022";"I квартал";"755374";"742672";"2363398716";
"Бунинская аллея";"Бутовская линия Лёгкого метро";"2022";"I квартал";"1615947";"1586620";"2363398717";
"Ховрино";"Замоскворецкая линия";"2022";"I квартал";"3397467";"3120842";"2363398718";
"Беломорская";"Замоскворецкая линия";"2022";"I квартал";"2301022";"2194844";"2363398720";
"Речной вокзал";"Замоскворецкая линия";"2022";"I квартал";"2117601";"2071312";"2363398721";
"Водный стадион";"Замоскворецкая линия";"2022";"I квартал";"3136970";"3130001";"2363398722";
"Войковская";"Замоскворецкая линия";"2022";"I квартал";"3702205";"3723162";"2363398723";
"Сокол";"Замоскворецкая линия";"2022";"I квартал";"2693169";"2738377";"2363398724";
"Аэропорт";"Замоскворецкая линия";"2022";"I квартал";"2695551";"2752512";"2363398725";
"Динамо";"Замоскворецкая линия";"2022";"I квартал";"2099030";"2153762";"2363398726";
"Белорусская";"Замоскворецкая линия";"2022";"I квартал";"1950535";"1940869";"2363398727";
"Маяковская";"Замоскворецкая линия";"2022";"I квартал";"2655075";"2745194";"2363398729";
"Тверская";"Замоскворецкая линия";"2022";"I квартал";"0";"0";"2363398730";
"Театральная";"Замоскворецкая линия";"2022";"I квартал";"0";"0";"2363398731";
"Новокузнецкая";"Замоскворецкая линия";"2022";"I квартал";"2307903";"2429874";"2363398732";
"Павелецкая";"Замоскворецкая линия";"2022";"I квартал";"2715795";"2338262";"2363398733";
"Автозаводская";"Замоскворецкая линия";"2022";"I квартал";"2903282";"3071162";"2363398734";
"Технопарк";"Замоскворецкая линия";"2022";"I квартал";"1361802";"1374760";"2363398735";
"Коломенская";"Замоскворецкая линия";"2022";"I квартал";"3784757";"3815191";"2363398737";
"Каширская";"Замоскворецкая линия";"2022";"I квартал";"2025613";"2074945";"2363398738";
"Кантемировская";"Замоскворецкая линия";"2022";"I квартал";"2918596";"2903356";"2363398739";
"Царицыно";"Замоскворецкая линия";"2022";"I квартал";"4735342";"4597501";"2363398740";
"Орехово";"Замоскворецкая линия";"2022";"I квартал";"1485078";"1430786";"2363398741";
"Домодедовская";"Замоскворецкая линия";"2022";"I квартал";"4920664";"4569808";"2363398742";
"Красногвардейская";"Замоскворецкая линия";"2022";"I квартал";"1397121";"1392792";"2363398744";
"Алма-Атинская";"Замоскворецкая линия";"2022";"I квартал";"1091524";"1067771";"2363398745";
"Новокосино";"Калининская линия";"2022";"I квартал";"4651689";"4495820";"2363398746";
"Новогиреево";"Калининская линия";"2022";"I квартал";"5372096";"5225993";"2363398747";
"Перово";"Калининская линия";"2022";"I квартал";"3212624";"3187930";"2363398748";
"Шоссе Энтузиастов";"Калининская линия";"2022";"I квартал";"1654193";"1785163";"2363398749";
"Площадь Ильича";"Калининская линия";"2022";"I квартал";"1470250";"1488379";"2363398751";
"Марксистская";"Калининская линия";"2022";"I квартал";"1822277";"1904849";"2363398752";
"Медведково";"Калужско-Рижская линия";"2022";"I квартал";"4016537";"3880574";"2363398755";
"Бабушкинская";"Калужско-Рижская линия";"2022";"I квартал";"3758778";"3751147";"2363398756";
"Свиблово";"Калужско-Рижская линия";"2022";"I квартал";"1879747";"1889145";"2363398757";
"Ботанический сад";"Калужско-Рижская линия";"2022";"I квартал";"1236186";"1417398";"2363398759";
"ВДНХ";"Калужско-Рижская линия";"2022";"I квартал";"5100244";"4890423";"2363398760";
"Алексеевская";"Калужско-Рижская линия";"2022";"I квартал";"2565640";"2641992";"2363398761";
"Сухаревская";"Калужско-Рижская линия";"2022";"I квартал";"1569231";"1646225";"2363398764";
"Тургеневская";"Калужско-Рижская линия";"2022";"I квартал";"1451280";"1522748";"2363398765";
"Китай-город";"Калужско-Рижская линия";"2022";"I квартал";"4385148";"4516994";"2363398766";
"Октябрьская";"Калужско-Рижская линия";"2022";"I квартал";"952925";"1006550";"2363398768";
"Шаболовская";"Калужско-Рижская линия";"2022";"I квартал";"1974824";"2078531";"2363398770";
"Ленинский проспект";"Калужско-Рижская линия";"2022";"I квартал";"2895262";"3330731";"2363398771";
"Академическая";"Калужско-Рижская линия";"2022";"I квартал";"2616881";"2636484";"2363398772";
"Профсоюзная";"Калужско-Рижская линия";"2022";"I квартал";"2464169";"2530030";"2363398773";
"Новые Черёмушки";"Калужско-Рижская линия";"2022";"I квартал";"2856113";"2916738";"2363398775";
"Калужская";"Калужско-Рижская линия";"2022";"I квартал";"2608294";"2718325";"2363398776";
"Беляево";"Калужско-Рижская линия";"2022";"I квартал";"2806758";"2841192";"2363398777";
"Коньково";"Калужско-Рижская линия";"2022";"I квартал";"2166145";"2154649";"2363398778";
"Тёплый стан";"Калужско-Рижская линия";"2022";"I квартал";"4734229";"4636738";"2363398779";
"Ясенево";"Калужско-Рижская линия";"2022";"I квартал";"2332207";"2303436";"2363398780";
"Новоясеневская";"Калужско-Рижская линия";"2022";"I квартал";"527195";"519492";"2363398781";
"Краснопресненская";"Кольцевая линия";"2022";"I квартал";"1471339";"1525784";"2363398783";
"Новослободская";"Кольцевая линия";"2022";"I квартал";"585379";"628013";"2363398786";
"Проспект Мира";"Кольцевая линия";"2022";"I квартал";"1945041";"2013814";"2363398787";
"Курская";"Кольцевая линия";"2022";"I квартал";"2966255";"2763128";"2363398790";
"Добрынинская";"Кольцевая линия";"2022";"I квартал";"1562674";"1620093";"2363398793";
"Селигерская";"Люблинско-Дмитровская линия";"2022";"I квартал";"3350022";"3286475";"2363398796";
"Верхние Лихоборы";"Люблинско-Дмитровская линия";"2022";"I квартал";"1025557";"1006343";"2363398797";
"Окружная";"Люблинско-Дмитровская линия";"2022";"I квартал";"470514";"465464";"2363398798";
"Петровско-Разумовская";"Люблинско-Дмитровская линия";"2022";"I квартал";"1728713";"1706616";"2363398800";
"Фонвизинская";"Люблинско-Дмитровская линия";"2022";"I квартал";"1162868";"1152779";"2363398801";
"Бутырская";"Люблинско-Дмитровская линия";"2022";"I квартал";"1152953";"1195271";"2363398802";
"Марьина роща";"Люблинско-Дмитровская линия";"2022";"I квартал";"2272173";"2334516";"2363398803";
"Достоевская";"Люблинско-Дмитровская линия";"2022";"I квартал";"1002188";"1047491";"2363398805";
"Трубная";"Люблинско-Дмитровская линия";"2022";"I квартал";"1258917";"1310266";"2363398806";
"Сретенский бульвар";"Люблинско-Дмитровская линия";"2022";"I квартал";"674007";"714162";"2363398807";
"Чкаловская";"Люблинско-Дмитровская линия";"2022";"I квартал";"3495147";"3409573";"2363398808";
"Римская";"Люблинско-Дмитровская линия";"2022";"I квартал";"1614308";"1629192";"2363398809";
"Крестьянская застава";"Люблинско-Дмитровская линия";"2022";"I квартал";"563949";"592997";"2363398810";
"Дубровка";"Люблинско-Дмитровская линия";"2022";"I квартал";"1439508";"1512868";"2363398811";
"Кожуховская";"Люблинско-Дмитровская линия";"2022";"I квартал";"1791734";"1877155";"2363398813";
"Печатники";"Люблинско-Дмитровская линия";"2022";"I квартал";"1678868";"1695510";"2363398814";
"Волжская";"Люблинско-Дмитровская линия";"2022";"I квартал";"1355918";"1378768";"2363398815";
"Люблино";"Люблинско-Дмитровская линия";"2022";"I квартал";"3643637";"3512918";"2363398816";
"Братиславская";"Люблинско-Дмитровская линия";"2022";"I квартал";"3091459";"3077531";"2363398817";
"Марьино";"Люблинско-Дмитровская линия";"2022";"I квартал";"2598424";"2580265";"2363398819";
"Борисово";"Люблинско-Дмитровская линия";"2022";"I квартал";"938895";"929927";"2363398820";
"Шипиловская";"Люблинско-Дмитровская линия";"2022";"I квартал";"1133376";"1137943";"2363398821";
"Зябликово";"Люблинско-Дмитровская линия";"2022";"I квартал";"819985";"823228";"2363398822";
"Улица Сергея Эйзенштейна";"Московская монорельсовая транспортная система";"2022";"I квартал";"15547";"12940";"2363398823";
"Выставочный центр";"Московская монорельсовая транспортная система";"2022";"I квартал";"57630";"50511";"2363398824";
"Улица Академика Королёва";"Московская монорельсовая транспортная система";"2022";"I квартал";"14483";"13430";"2363398825";
"Телецентр";"Московская монорельсовая транспортная система";"2022";"I квартал";"22378";"20861";"2363398826";
"Улица Милашенкова";"Московская монорельсовая транспортная система";"2022";"I квартал";"17382";"15787";"2363398828";
"Лихоборы";"Московское центральное кольцо";"2022";"I квартал";"914295";"931941";"2363398830";
"Ростокино";"Московское центральное кольцо";"2022";"I квартал";"2430183";"2466922";"2363398835";
"Белокаменная";"Московское центральное кольцо";"2022";"I квартал";"82581";"86319";"2363398836";
"Локомотив";"Московское центральное кольцо";"2022";"I квартал";"880232";"920939";"2363398838";
"Измайлово";"Московское центральное кольцо";"2022";"I квартал";"732718";"802817";"2363398839";
"Соколиная Гора";"Московское центральное кольцо";"2022";"I квартал";"489395";"517795";"2363398840";
"Андроновка";"Московское центральное кольцо";"2022";"I квартал";"627561";"641444";"2363398843";
"Новохохловская";"Московское центральное кольцо";"2022";"I квартал";"581772";"611953";"2363398845";
"Угрешская";"Московское центральное кольцо";"2022";"I квартал";"409297";"437436";"2363398846";
"ЗИЛ";"Московское центральное кольцо";"2022";"I квартал";"686605";"719090";"2363398850";
"Верхние Котлы";"Московское центральное кольцо";"2022";"I квартал";"1335563";"1389704";"2363398851";
"Крымская";"Московское центральное кольцо";"2022";"I квартал";"823626";"863076";"2363398852";
"Площадь Гагарина";"Московское центральное кольцо";"2022";"I квартал";"962030";"1184724";"2363398853";
"Лужники";"Московское центральное кольцо";"2022";"I квартал";"730630";"847820";"2363398854";
"Шелепиха";"Московское центральное кольцо";"2022";"I квартал";"583775";"638127";"2363398858";
"Хорошёво";"Московское центральное кольцо";"2022";"I квартал";"556940";"592461";"2363398859";
"Зорге";"Московское центральное кольцо";"2022";"I квартал";"385989";"405852";"2363398860";
"Панфиловская";"Московское центральное кольцо";"2022";"I квартал";"503894";"534669";"2363398861";
"Стрешнево";"Московское центральное кольцо";"2022";"I квартал";"1215354";"1258952";"2363398862";
"Балтийская";"Московское центральное кольцо";"2022";"I квартал";"980153";"1048716";"2363398863";
"Коптево";"Московское центральное кольцо";"2022";"I квартал";"1214384";"1275630";"2363398865";
"Нижегородская";"Некрасовская линия";"2022";"I квартал";"914262";"1159136";"2363398866";
"Стахановская";"Некрасовская линия";"2022";"I квартал";"533311";"481651";"2363398867";
"Окская";"Некрасовская линия";"2022";"I квартал";"550701";"534096";"2363398868";
"Юго-Восточная";"Некрасовская линия";"2022";"I квартал";"918650";"882026";"2363398869";
"Косино";"Некрасовская линия";"2022";"I квартал";"342936";"322349";"2363398870";
"улица Дмитриевского";"Некрасовская линия";"2022";"I квартал";"728235";"709732";"2363398871";
"Лухмановская";"Некрасовская линия";"2022";"I квартал";"1294126";"1213627";"2363398872";
"Некрасовка";"Некрасовская линия";"2022";"I квартал";"4054110";"3818806";"2363398874";
"Алтуфьево";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"3591766";"3512761";"2363398875";
"Бибирево";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"2281562";"2295071";"2363398876";
"Отрадное";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"3836313";"3872210";"2363398877";
"Владыкино";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"1267963";"1491035";"2363398878";
"Тимирязевская";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"1658133";"1632481";"2363398881";
"Дмитровская";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"2601748";"2661282";"2363398882";
"Савёловская";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"3327435";"3340628";"2363398883";
"Менделеевская";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"2998834";"3163308";"2363398884";
"Цветной бульвар";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"1775790";"1841798";"2363398885";
"Чеховская";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"1672693";"1757020";"2363398886";
"Боровицкая";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"484318";"508697";"2363398887";
"Полянка";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"1224314";"1287873";"2363398888";
"Серпуховская";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"1420793";"1478998";"2363398889";
"Тульская";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"2624879";"2711433";"2363398890";
"Нагатинская";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"2983006";"3074794";"2363398892";
"Нагорная";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"1281036";"1310324";"2363398893";
"Нахимовский проспект";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"1753911";"1784927";"2363398895";
"Севастопольская";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"1166639";"1188259";"2363398896";
"Чертановская";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"2577478";"2566780";"2363398897";
"Южная";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"1846158";"1842028";"2363398898";
"Пражская";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"3928570";"3941889";"2363398899";
"Улица академика Янгеля";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"2134673";"2079163";"2363398900";
"Аннино";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"1927448";"1771636";"2363398901";
"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"4372711";"4225385";"2363398902";
"Бульвар Рокоссовского";"Сокольническая линия";"2022";"I квартал";"1829536";"1821313";"2363398903";
"Черкизовская";"Сокольническая линия";"2022";"I квартал";"1372934";"1249941";"2363398904";
"Преображенская площадь";"Сокольническая линия";"2022";"I квартал";"3348232";"3400702";"2363398905";
"Красносельская";"Сокольническая линия";"2022";"I квартал";"1747508";"1807138";"2363398908";
"Комсомольская";"Сокольническая линия";"2022";"I квартал";"2296397";"1901328";"2363398909";
"Красные ворота";"Сокольническая линия";"2022";"I квартал";"1781464";"1840211";"2363398911";
"Чистые пруды";"Сокольническая линия";"2022";"I квартал";"1476305";"1516644";"2363398912";
"Лубянка";"Сокольническая линия";"2022";"I квартал";"2104102";"2112135";"2363398913";
"Охотный ряд";"Сокольническая линия";"2022";"I квартал";"3882855";"3806149";"2363398914";
"Библиотека имени Ленина";"Сокольническая линия";"2022";"I квартал";"0";"0";"2363398915";
"Кропоткинская";"Сокольническая линия";"2022";"I квартал";"1873927";"1949256";"2363398916";
"Парк культуры";"Сокольническая линия";"2022";"I квартал";"502567";"527828";"2363398917";
"Фрунзенская";"Сокольническая линия";"2022";"I квартал";"2019435";"2128087";"2363398918";
"Спортивная";"Сокольническая линия";"2022";"I квартал";"1545727";"1696101";"2363398919";
"Воробьёвы горы";"Сокольническая линия";"2022";"I квартал";"599848";"583016";"2363398920";
"Университет";"Сокольническая линия";"2022";"I квартал";"2244448";"2269316";"2363398921";
"Юго-Западная";"Сокольническая линия";"2022";"I квартал";"3624607";"3627832";"2363398924";
"Тропарёво";"Сокольническая линия";"2022";"I квартал";"1396181";"1365643";"2363398926";
"Румянцево";"Сокольническая линия";"2022";"I квартал";"817464";"819821";"2363398927";
"Саларьево";"Сокольническая линия";"2022";"I квартал";"3162915";"2813708";"2363398928";
"Филатов луг";"Сокольническая линия";"2022";"I квартал";"851185";"816388";"2363398929";
"Прокшино";"Сокольническая линия";"2022";"I квартал";"461709";"447234";"2363398930";
"Ольховая";"Сокольническая линия";"2022";"I квартал";"574751";"541134";"2363398931";
"Новомосковская";"Сокольническая линия";"2022";"I квартал";"1066189";"1043600";"2363398932";
"Деловой центр";"Солнцевская линия";"2022";"I квартал";"1001769";"989323";"2363398933";
"Парк Победы";"Солнцевская линия";"2022";"I квартал";"255429";"269298";"2363398934";
"Минская";"Солнцевская линия";"2022";"I квартал";"432064";"443660";"2363398935";
"Ломоносовский проспект";"Солнцевская линия";"2022";"I квартал";"988209";"991263";"2363398936";
"Раменки";"Солнцевская линия";"2022";"I квартал";"1418371";"1403537";"2363398937";
"Мичуринский проспект";"Солнцевская линия";"2022";"I квартал";"233833";"235550";"2363398939";
"Озёрная";"Солнцевская линия";"2022";"I квартал";"1328826";"1313533";"2363398940";
"Говорово";"Солнцевская линия";"2022";"I квартал";"1029159";"977400";"2363398941";
"Солнцево";"Солнцевская линия";"2022";"I квартал";"1372595";"1320721";"2363398943";
"Боровское шоссе";"Солнцевская линия";"2022";"I квартал";"473363";"451682";"2363398944";
"Новопеределкино";"Солнцевская линия";"2022";"I квартал";"1291804";"1239945";"2363398945";
"Рассказовка";"Солнцевская линия";"2022";"I квартал";"1630094";"1534834";"2363398946";
"Планерная";"Таганско-Краснопресненская линия";"2022";"I квартал";"3229194";"3105411";"2363398947";
"Сходненская";"Таганско-Краснопресненская линия";"2022";"I квартал";"3891501";"3834252";"2363398948";
"Тушинская";"Таганско-Краснопресненская линия";"2022";"I квартал";"3566799";"3424115";"2363398949";
"Спартак";"Таганско-Краснопресненская линия";"2022";"I квартал";"334809";"325788";"2363398950";
"Щукинская";"Таганско-Краснопресненская линия";"2022";"I квартал";"3238926";"3242087";"2363398951";
"Октябрьское поле";"Таганско-Краснопресненская линия";"2022";"I квартал";"3124439";"3189259";"2363398952";
"Полежаевская";"Таганско-Краснопресненская линия";"2022";"I квартал";"2449366";"2515417";"2363398954";
"Беговая";"Таганско-Краснопресненская линия";"2022";"I квартал";"3215721";"3256422";"2363398955";
"Улица 1905 года";"Таганско-Краснопресненская линия";"2022";"I квартал";"3348730";"3487417";"2363398956";
"Баррикадная";"Таганско-Краснопресненская линия";"2022";"I квартал";"1625383";"1698173";"2363398958";
"Пушкинская";"Таганско-Краснопресненская линия";"2022";"I квартал";"3513306";"3638174";"2363398959";
"Кузнецкий мост";"Таганско-Краснопресненская линия";"2022";"I квартал";"1859271";"1944645";"2363398960";
"Таганская";"Таганско-Краснопресненская линия";"2022";"I квартал";"1073299";"1108417";"2363398962";
"Пролетарская";"Таганско-Краснопресненская линия";"2022";"I квартал";"2437409";"2478744";"2363398963";
"Волгоградский проспект";"Таганско-Краснопресненская линия";"2022";"I квартал";"1684575";"1729216";"2363398964";
"Текстильщики";"Таганско-Краснопресненская линия";"2022";"I квартал";"4370553";"4352958";"2363398965";
"Кузьминки";"Таганско-Краснопресненская линия";"2022";"I квартал";"4648778";"4619063";"2363398966";
"Рязанский проспект";"Таганско-Краснопресненская линия";"2022";"I квартал";"2557954";"2569848";"2363398967";
"Выхино";"Таганско-Краснопресненская линия";"2022";"I квартал";"4905281";"4757932";"2363398968";
"Лермонтовский проспект";"Таганско-Краснопресненская линия";"2022";"I квартал";"1617677";"1540519";"2363398969";
"Жулебино";"Таганско-Краснопресненская линия";"2022";"I квартал";"1984647";"1914983";"2363398970";
"Котельники";"Таганско-Краснопресненская линия";"2022";"I квартал";"4089284";"3640124";"2363398972";
"Пионерская";"Филёвская линия";"2022";"I квартал";"468421";"450865";"2363398975";
"Филёвский парк";"Филёвская линия";"2022";"I квартал";"706704";"692081";"2363398976";
"Багратионовская";"Филёвская линия";"2022";"I квартал";"1225963";"1227724";"2363398977";
"Фили";"Филёвская линия";"2022";"I квартал";"1373173";"1382882";"2363398978";
"Кутузовская";"Филёвская линия";"2022";"I квартал";"510249";"540500";"2363398979";
"Студенческая";"Филёвская линия";"2022";"I квартал";"498056";"512054";"2363398980";
"Арбатская";"Филёвская линия";"2022";"I квартал";"451011";"434456";"2363398983";
"Александровский сад";"Филёвская линия";"2022";"I квартал";"1177451";"1181999";"2363398984";
"Москва-Сити";"Филёвская линия";"2022";"I квартал";"522032";"536659";"2363398985";
"Деловой центр";"Филёвская линия";"2022";"I квартал";"1302699";"1299946";"2363398986";
"Кунцевская";"Арбатско-Покровская линия";"2022";"I квартал";"966173";"988176";"2363417021";
"Парк Победы";"Арбатско-Покровская линия";"2022";"I квартал";"1204485";"1182816";"2363417313";
"Смоленская";"Арбатско-Покровская линия";"2022";"I квартал";"1945687";"2030140";"2363419180";
"Арбатская";"Арбатско-Покровская линия";"2022";"I квартал";"2126816";"2215797";"2363419309";
"Курская";"Арбатско-Покровская линия";"2022";"I квартал";"1626601";"1652367";"2363419465";
"Савёловская";"Большая кольцевая линия";"2022";"I квартал";"958403";"971995";"2363419559";
"Петровский парк";"Большая кольцевая линия";"2022";"I квартал";"874975";"901339";"2363420043";
"Шелепиха";"Большая кольцевая линия";"2022";"I квартал";"866326";"889055";"2363420407";
"Деловой центр";"Большая кольцевая линия";"2022";"I квартал";"1341704";"1323981";"2363420542";
"Лефортово";"Некрасовская линия";"2022";"I квартал";"498260";"500026";"2363420711";
"Электрозаводская";"Некрасовская линия";"2022";"I квартал";"666061";"666987";"2363420816";
"Мичуринский проспект";"Большая кольцевая линия";"2022";"I квартал";"564377";"563181";"2363420999";
"Авиамоторная";"Калининская линия";"2022";"I квартал";"3184038";"3348633";"2363422066";
"Третьяковская";"Калининская линия";"2022";"I квартал";"2132766";"2229014";"2363422306";
"Рижская";"Калужско-Рижская линия";"2022";"I квартал";"0";"0";"2363423819";
"Проспект Мира";"Калужско-Рижская линия";"2022";"I квартал";"1965594";"2051318";"2363423945";
"Третьяковская";"Калужско-Рижская линия";"2022";"I квартал";"0";"0";"2363424352";
"Киевская";"Кольцевая линия";"2022";"I квартал";"2878326";"2861688";"2363424466";
"Белорусская";"Кольцевая линия";"2022";"I квартал";"3601860";"3412025";"2363424682";
"Комсомольская";"Кольцевая линия";"2022";"I квартал";"7000177";"5856610";"2363424810";
"Таганская";"Кольцевая линия";"2022";"I квартал";"2017704";"2087943";"2363424989";
"Павелецкая";"Кольцевая линия";"2022";"I квартал";"3324283";"3454407";"2363425349";
"Октябрьская";"Кольцевая линия";"2022";"I квартал";"1816705";"1894746";"2363425430";
"Парк культуры";"Кольцевая линия";"2022";"I квартал";"2638852";"2755419";"2363425626";
"Тимирязевская";"Московская монорельсовая транспортная система";"2022";"I квартал";"48056";"40889";"2363425920";
"Окружная";"Московское центральное кольцо";"2022";"I квартал";"1177873";"1191045";"2363426102";
"Владыкино";"Московское центральное кольцо";"2022";"I квартал";"593456";"779089";"2363426402";
"Ботанический сад";"Московское центральное кольцо";"2022";"I квартал";"825588";"1012502";"2363426484";
"Бульвар Рокоссовского";"Московское центральное кольцо";"2022";"I квартал";"806580";"844420";"2363426609";
"Шоссе Энтузиастов";"Московское центральное кольцо";"2022";"I квартал";"595744";"669388";"2363426705";
"Нижегородская";"Московское центральное кольцо";"2022";"I квартал";"1532070";"1637725";"2363426813";
"Дубровка";"Московское центральное кольцо";"2022";"I квартал";"729979";"778399";"2363426933";
"Автозаводская";"Московское центральное кольцо";"2022";"I квартал";"443010";"494159";"2363429683";
"Кутузовская";"Московское центральное кольцо";"2022";"I квартал";"1311755";"1432568";"2363487156";
"Москва-Сити";"Московское центральное кольцо";"2022";"I квартал";"1153260";"1229402";"2363487167";
"Петровско-Разумовская";"Серпуховско-Тимирязевская линия";"2022";"I квартал";"0";"0";"2363487177";
"Сокольники";"Сокольническая линия";"2022";"I квартал";"2096694";"2133509";"2363487202";
"Проспект Вернадского";"Сокольническая линия";"2022";"I квартал";"2062912";"2078946";"2363487279";
"Китай-город";"Таганско-Краснопресненская линия";"2022";"I квартал";"0";"0";"2363487484";
"Киевская";"Филёвская линия";"2022";"I квартал";"0";"0";"2363487549";
"Улица Милашенкова";"Московская монорельсовая транспортная система";"2021";"IV квартал";"17991";"17295";"2363643842";
"Кунцевская";"Филёвская линия";"2022";"I квартал";"543507";"529972";"2363644363";
"Смоленская";"Филёвская линия";"2022";"I квартал";"726197";"742423";"2363644369";
"Пятницкое шоссе";"Арбатско-Покровская линия";"2022";"II квартал";"1586597";"1494986";"2375902224";
"Митино";"Арбатско-Покровская линия";"2022";"II квартал";"2135762";"2043853";"2375902225";
"Волоколамская";"Арбатско-Покровская линия";"2022";"II квартал";"1540121";"1498280";"2375902226";
"Мякинино";"Арбатско-Покровская линия";"2022";"II квартал";"1524550";"1467670";"2375902227";
"Строгино";"Арбатско-Покровская линия";"2022";"II квартал";"2571183";"2538389";"2375902228";
"Крылатское";"Арбатско-Покровская линия";"2022";"II квартал";"2221765";"2189532";"2375902229";
"Молодёжная";"Арбатско-Покровская линия";"2022";"II квартал";"4010031";"3949471";"2375902230";
"Славянский бульвар";"Арбатско-Покровская линия";"2022";"II квартал";"4883598";"4778530";"2375902232";
"Киевская";"Арбатско-Покровская линия";"2022";"II квартал";"3765674";"3484368";"2375902234";
"Площадь Революции";"Арбатско-Покровская линия";"2022";"II квартал";"3018192";"3032708";"2375902238";
"Бауманская";"Арбатско-Покровская линия";"2022";"II квартал";"4633111";"4871060";"2375902240";
"Электрозаводская";"Арбатско-Покровская линия";"2022";"II квартал";"2932265";"3131098";"2375902241";
"Семёновская";"Арбатско-Покровская линия";"2022";"II квартал";"2582010";"2659805";"2375902242";
"Партизанская";"Арбатско-Покровская линия";"2022";"II квартал";"1669265";"1615785";"2375902243";
"Измайловская";"Арбатско-Покровская линия";"2022";"II квартал";"1628601";"1631644";"2375902244";
"Первомайская";"Арбатско-Покровская линия";"2022";"II квартал";"3010996";"2986317";"2375902245";
"Щёлковская";"Арбатско-Покровская линия";"2022";"II квартал";"6528620";"6168534";"2375902246";
"ЦСКА";"Большая кольцевая линия";"2022";"II квартал";"2532271";"2610808";"2375902249";
"Хорошёвская";"Большая кольцевая линия";"2022";"II квартал";"744764";"761255";"2375902250";
"Народное Ополчение";"Большая кольцевая линия";"2022";"II квартал";"73839";"70776";"2375902253";
"Мнёвники";"Большая кольцевая линия";"2022";"II квартал";"195463";"207697";"2375902254";
"Авиамоторная";"Некрасовская линия";"2022";"II квартал";"587907";"587602";"2375902255";
